Temperature,Humidity,Soil Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorus,Fertilizer
31.36,63.99,29.77,Loamy,Arhar/Tur,19.57,24.03,32.93,MOP
30.5,69.4,29.48,Sandy Loam,Arhar/Tur,17.02,23.32,33.63,MOP
25.42,51.68,23.14,Sandy Loam,Arhar/Tur,0.1,17.95,26.27,20-40-20
31.5,65.17,27.88,Sandy Loam,Arhar/Tur,17.15,24.95,32.89,MOP
31.91,46.63,18.2,Sandy Loam,Arhar/Tur,15.28,14.88,42.88,DAP
24.34,53.81,21.89,Loamy,Arhar/Tur,5.92,15.42,28.08,20-40-20
24.42,88.43,16.82,Clay Loam,Arhar/Tur,17.01,10.87,25.78,20-40-20
31.48,69.13,29.39,Sandy Loam,Arhar/Tur,18.56,23.22,33.9,MOP
28.65,63.25,26.64,Clay Loam,Arhar/Tur,13.3,18.89,28.79,DAP
27.51,57.79,26.37,Sandy Loam,Arhar/Tur,13,20.09,29.26,DAP
30.81,61.52,47.62,Loamy,Arhar/Tur,4.26,17.96,15.68,MOP
24.94,51.12,22.56,Sandy Loam,Arhar/Tur,5.26,16.26,27.17,20-40-20
31.8,64.31,26.95,Clay Loam,Arhar/Tur,14.43,23.7,34.04,MOP
28.63,59.79,23.98,Sandy Loam,Arhar/Tur,12.66,20.54,30.69,DAP
32.44,75.27,48.99,Sandy Loam,Arhar/Tur,-6.23,15.91,21.17,20-40-20
24.83,56.15,22,Sandy Loam,Arhar/Tur,4.44,16.43,26.49,20-40-20
29.07,58.01,24.93,Clay Loam,Arhar/Tur,13.06,18.86,28.76,DAP
35.51,72.25,25.97,Sand,Arhar/Tur,7.76,15.01,44.08,DAP
29.7,66.33,27.8,Sandy Loam,Arhar/Tur,19.14,24.2,33.37,MOP
29.01,57.86,25.67,Loamy,Arhar/Tur,9.69,19.41,29.59,DAP
30.19,64.05,29.75,Clay Loam,Arhar/Tur,15.63,24.48,33.13,MOP
30.11,67.94,29.96,Sandy Loam,Arhar/Tur,14.08,22.15,33.72,MOP
27.04,57.57,25.07,Clay Loam,Arhar/Tur,8.78,20.03,28.64,DAP
29.73,69.42,26.9,Loamy,Arhar/Tur,17.96,22.6,34.9,MOP
24.16,54.08,20.59,Sandy Loam,Arhar/Tur,1.49,17.68,25.86,20-40-20
24.44,47.6,47.16,Clay,Arhar/Tur,19.72,27.88,36.24,DAP
25.2,52.15,20.7,Clay Loam,Arhar/Tur,1.68,18.3,27.06,20-40-20
31.52,67.57,29.53,Loamy,Arhar/Tur,15.07,22.57,33.16,MOP
31.12,63.52,28.81,Clay Loam,Arhar/Tur,16.44,22.54,32.53,MOP
24.86,53.05,21.3,Clay Loam,Arhar/Tur,3.53,15.95,28.2,20-40-20
30.15,66.2,27.79,Clay Loam,Arhar/Tur,13.73,23.87,34.5,MOP
31.7,69.8,27.87,Loamy,Arhar/Tur,14.38,21.88,32.87,MOP
24.73,56.01,21.91,Sandy Loam,Arhar/Tur,1.67,17.54,25.18,20-40-20
28.8,62.05,26,Loamy,Arhar/Tur,10.12,18.42,29.41,DAP
27.91,59.72,24.6,Clay Loam,Arhar/Tur,7.02,18.41,30.48,DAP
25.16,53.43,21.33,Loamy,Arhar/Tur,3.63,15.12,26.98,20-40-20
30.11,68.99,28.01,Clay Loam,Arhar/Tur,15.75,22.21,33.87,MOP
27.01,58.18,24.92,Sandy Loam,Arhar/Tur,10.48,19.53,30.21,DAP
25.43,53.44,20.93,Sandy Loam,Arhar/Tur,4.07,15.35,26.82,20-40-20
25.52,53.12,23.17,Sandy Loam,Arhar/Tur,5.7,16.01,25.48,20-40-20
31.05,65.37,28.09,Clay Loam,Arhar/Tur,15.96,23.64,34.08,MOP
24.07,52.13,21.96,Sandy Loam,Arhar/Tur,5.52,16.9,26.91,20-40-20
31.01,63.81,27.19,Loamy,Arhar/Tur,15.01,24.22,32.49,MOP
29.25,56.72,26.26,Clay Loam,Arhar/Tur,7.25,20.58,31.1,DAP
25.2,53.13,22.12,Clay Loam,Arhar/Tur,6.47,16.95,27.13,20-40-20
28.04,59.13,24.74,Clay Loam,Arhar/Tur,13.11,21.04,28.94,DAP
27.99,59.4,23.43,Loamy,Arhar/Tur,12.24,19.87,30.76,DAP
30.18,66.78,28.51,Clay Loam,Arhar/Tur,13.88,23.37,33.59,MOP
30.24,64.42,27.24,Sandy Loam,Arhar/Tur,13.35,21.95,32.32,MOP
18.93,89.24,21.49,Sand,Arhar/Tur,18.13,15.77,35.3,MOP
27.09,60.9,24.42,Clay Loam,Arhar/Tur,8.64,20.34,30.06,DAP
28.94,57.9,24.1,Clay Loam,Arhar/Tur,13.29,18.95,29.29,DAP
29.49,66.79,28.63,Loamy,Arhar/Tur,13.78,22.71,34.48,MOP
29.31,61.73,24.91,Loamy,Arhar/Tur,9.71,19.18,29.36,DAP
30.94,67.04,27.11,Sandy Loam,Arhar/Tur,16.31,22.91,34.9,MOP
29.51,85.68,18,Sand,Arhar/Tur,23.88,27.29,44.41,MOP
27.37,61.95,24.37,Sandy Loam,Arhar/Tur,8.19,19.18,29.51,DAP
25.61,53.1,20.84,Clay Loam,Arhar/Tur,2.42,16.33,26.62,20-40-20
28.87,57.13,26.09,Sandy Loam,Arhar/Tur,12.21,21.47,28.68,DAP
28.46,57.29,25.03,Clay Loam,Arhar/Tur,11.91,18.69,29.26,DAP
29.22,62.97,23.55,Sandy Loam,Arhar/Tur,6.74,19.52,29.79,DAP
39.64,78.74,43.81,Sandy Loam,Arhar/Tur,25.33,11.42,15.76,MOP
27.4,61.23,24.94,Loamy,Arhar/Tur,10.32,20.04,30.56,DAP
31.83,66.14,28.05,Loamy,Arhar/Tur,13.72,24.92,32.48,MOP
28.03,57.24,26.2,Clay Loam,Arhar/Tur,12.86,20.31,28.67,DAP
31.46,68.29,29.91,Loamy,Arhar/Tur,15.77,24.42,31.84,MOP
24.69,56.55,22.54,Loamy,Arhar/Tur,4.14,15.33,25.93,20-40-20
25.23,62.42,36.52,Sand,Arhar/Tur,21.09,8.79,28.25,DAP
25.81,52.4,22.21,Sandy Loam,Arhar/Tur,6.4,17.68,25.81,20-40-20
39.66,44.59,34.51,Sand,Arhar/Tur,28.83,26.57,21.36,20-40-20
31.8,63.85,29.01,Sandy Loam,Arhar/Tur,19.93,23.81,32.46,MOP
31.66,68.78,27.12,Sandy Loam,Arhar/Tur,14.61,24.17,31.77,MOP
27.77,57.03,25.98,Clay Loam,Arhar/Tur,11.73,20.76,31.64,DAP
15.41,45.6,27.94,Loamy,Arhar/Tur,-4.24,28.73,41.57,20-40-20
27.45,46.44,49.59,Sand,Arhar/Tur,11.56,17.9,22.85,MOP
28.95,57.67,25.82,Clay Loam,Arhar/Tur,9.25,19.84,29.9,DAP
26.76,59.55,24.67,Clay Loam,Arhar/Tur,6.73,19.89,31.56,DAP
25.01,53.79,20.2,Loamy,Arhar/Tur,0.35,15.01,27.35,20-40-20
27.54,61.59,24.03,Loamy,Arhar/Tur,12.75,21.65,29.84,DAP
25.48,54.09,21.16,Clay Loam,Arhar/Tur,5.41,16.33,25.35,20-40-20
30.5,66.81,28.57,Clay Loam,Arhar/Tur,15.25,24.22,33.61,MOP
27.18,89.67,48.56,Sandy Loam,Arhar/Tur,2.97,18.05,31.52,DAP
23.55,32.68,31.27,Sandy Loam,Arhar/Tur,-7.75,26.22,33.12,MOP
27.3,58.63,23.75,Clay Loam,Arhar/Tur,8.9,18.49,28.97,DAP
28.8,58.27,25.25,Clay Loam,Arhar/Tur,12.72,20.1,28.86,DAP
26.42,50.93,21.13,Sandy Loam,Arhar/Tur,1.22,16.59,26.5,20-40-20
29.74,64.17,27.57,Sandy Loam,Arhar/Tur,14.46,24.52,32.1,MOP
29.92,67.02,28.2,Clay Loam,Arhar/Tur,18.73,23.76,34.84,MOP
28.54,58.6,26.4,Loamy,Arhar/Tur,7.46,18.35,30.54,DAP
31.4,79.04,32.82,Clay,Arhar/Tur,5.12,13.84,19.81,DAP
25.51,51.09,22.29,Loamy,Arhar/Tur,4.55,15.17,26.91,20-40-20
28.85,57.75,26.18,Sandy Loam,Arhar/Tur,9.75,19.47,30.31,DAP
24.39,54.13,20.24,Clay Loam,Arhar/Tur,3.13,16.26,25.96,20-40-20
28.46,60.61,24.75,Clay Loam,Arhar/Tur,8.26,20.59,30.64,DAP
30.02,67.39,27.6,Sandy Loam,Arhar/Tur,16.59,23.86,32.44,MOP
24.28,54.8,22.28,Sandy Loam,Arhar/Tur,1.77,16.34,27.7,20-40-20
28.62,63.24,25.68,Sandy Loam,Arhar/Tur,9.36,21.4,31.07,DAP
26.5,54.64,20.08,Loamy,Arhar/Tur,2.31,16.5,26.22,20-40-20
24.8,51.2,21.39,Clay Loam,Arhar/Tur,4.4,16.41,26.73,20-40-20
31.94,68.34,26.87,Loamy,Arhar/Tur,13.61,24.26,34.1,MOP
27.38,38.68,11.99,Loamy,Arhar/Tur,25.52,26.74,36.79,MOP
28.69,60.3,24.65,Loamy,Arhar/Tur,7.13,19.86,31.62,DAP
21.29,80.69,16.98,Sandy Loam,Arhar/Tur,16.93,18.58,26.52,MOP
27.15,79.83,17.31,Sandy Loam,Arhar/Tur,-8.79,28.66,16.59,MOP
27.94,63.05,26.58,Clay Loam,Arhar/Tur,12.35,21.57,28.35,DAP
31.68,65.79,28.08,Clay Loam,Arhar/Tur,14.36,24.19,32.83,MOP
31.23,67.21,27.53,Loamy,Arhar/Tur,17.25,24.25,34.77,MOP
24.33,52.06,21.2,Sandy Loam,Arhar/Tur,0.22,16.16,27.61,20-40-20
25.29,54.14,20.85,Loamy,Arhar/Tur,1.21,16.03,25.24,20-40-20
31.29,69.28,26.81,Sandy Loam,Arhar/Tur,14.32,23.14,32.83,MOP
25.79,52.09,21.14,Clay Loam,Arhar/Tur,0.08,16.34,27.79,20-40-20
24.02,52.31,22.2,Clay Loam,Arhar/Tur,4.93,16.93,27.97,20-40-20
31.54,67.87,28.56,Sandy Loam,Arhar/Tur,14.47,23.08,32.82,MOP
38.88,69.45,44.91,Loamy,Arhar/Tur,8.58,12.9,22.75,DAP
25.56,55.77,21.82,Sandy Loam,Arhar/Tur,2.01,18.09,27.02,20-40-20
26.35,51.33,20.36,Clay Loam,Arhar/Tur,1.27,16.3,26.47,20-40-20
19.86,65.7,37.44,Clay,Arhar/Tur,9.78,25.34,35.32,DAP
26.04,50.01,20.02,Sandy Loam,Arhar/Tur,0.4,18.07,25.25,20-40-20
29.37,64.13,28.47,Clay Loam,Arhar/Tur,16.6,24.71,32.43,MOP
28.28,60.08,24.37,Clay Loam,Arhar/Tur,8.17,19.56,31.48,DAP
28.39,59.62,24.02,Clay Loam,Arhar/Tur,6.97,20.69,29.24,DAP
24.5,53.25,21.18,Clay Loam,Arhar/Tur,0.55,15.21,26.06,20-40-20
29.69,68.84,27.14,Loamy,Arhar/Tur,19.56,22.44,33.96,MOP
25.39,54.26,22.82,Clay Loam,Arhar/Tur,2.91,15.33,27.47,20-40-20
26.14,53.38,22.96,Loamy,Arhar/Tur,2.76,16.12,25.75,20-40-20
16.69,71.88,11.25,Clay,Arhar/Tur,7.12,9.01,39.69,DAP
28.16,62.19,24.47,Sandy Loam,Arhar/Tur,7.51,19.74,30.18,DAP
36.56,46.84,35.68,Clay Loam,Arhar/Tur,6.84,31.1,21.58,MOP
24.18,54.29,21.89,Clay Loam,Arhar/Tur,5.71,18.18,27.67,20-40-20
30.63,64.44,29.77,Loamy,Arhar/Tur,18.57,22.38,33.28,MOP
24.43,54.51,21.31,Sandy Loam,Arhar/Tur,4.1,16.56,27.94,20-40-20
25.94,52.78,20.05,Sandy Loam,Arhar/Tur,2.82,18.11,27.9,20-40-20
24.17,54.75,21.73,Sandy Loam,Arhar/Tur,5.84,17.83,26.45,20-40-20
31.78,69.48,29.86,Sandy Loam,Arhar/Tur,14.96,24.02,32.08,MOP
30.43,52.36,48.55,Sandy Loam,Arhar/Tur,-5.59,12.8,23.27,MOP
21.42,54.94,31.58,Sandy Loam,Arhar/Tur,16.65,18.77,28.31,20-40-20
27.59,60.27,25.15,Sandy Loam,Arhar/Tur,13.29,20.73,29.76,DAP
31.03,68.1,28.1,Loamy,Arhar/Tur,14.04,22.17,31.99,MOP
28.59,60.79,24.21,Clay Loam,Arhar/Tur,10.42,21.12,31.28,DAP
26.53,53.41,21.97,Sandy Loam,Arhar/Tur,5.83,15.08,26.68,20-40-20
31.6,66.91,29.88,Loamy,Arhar/Tur,17.59,22.2,31.97,MOP
24.56,54.38,22.89,Sandy Loam,Arhar/Tur,0.79,16.24,28.08,20-40-20
27.97,62.02,26.46,Sandy Loam,Arhar/Tur,8.08,18.77,31.46,DAP
31.8,68.45,27.9,Sandy Loam,Arhar/Tur,19.75,21.74,34.94,MOP
26.45,51.03,21.43,Clay Loam,Arhar/Tur,4.26,15.11,25.23,20-40-20
37.72,68.32,47.03,Loamy,Arhar/Tur,27.96,22.04,22.99,20-40-20
28.14,85.75,29.41,Sandy Loam,Arhar/Tur,-9.02,5.42,44.81,MOP
25.23,56.39,23.14,Loamy,Arhar/Tur,0.1,18.09,26.65,20-40-20
30.45,69.78,27.42,Loamy,Arhar/Tur,16.59,21.77,33.28,MOP
31.35,66.01,29.1,Loamy,Arhar/Tur,17.56,23.76,32,MOP
29.73,63.43,29.27,Sandy Loam,Arhar/Tur,13.36,23.64,34.1,MOP
17.42,84.81,43.08,Clay,Arhar/Tur,19.02,17.28,42.24,MOP
31.99,69.07,26.82,Sandy Loam,Arhar/Tur,18.86,21.87,31.86,MOP
30.88,64.94,28.57,Loamy,Arhar/Tur,13.57,22.66,33.97,MOP
23.41,85.74,41.55,Loamy,Arhar/Tur,19.31,20.2,35.73,DAP
24.21,52.81,20.5,Loamy,Arhar/Tur,3.8,15.36,25.51,20-40-20
19.54,43.04,40.34,Clay,Arhar/Tur,28.31,14.13,24.53,20-40-20
28.52,60.56,24.53,Sandy Loam,Arhar/Tur,7.23,19.49,29.34,DAP
29.71,88.44,27.32,Clay,Arhar/Tur,16.41,17.28,39.8,20-40-20
25.37,55.59,22.96,Clay Loam,Arhar/Tur,3.39,16.58,25.03,20-40-20
29.87,67.05,29,Clay Loam,Arhar/Tur,14.03,24.45,32.3,MOP
31.17,68.1,27.86,Loamy,Arhar/Tur,14.36,23.45,31.76,MOP
24.24,80.41,13.65,Sand,Arhar/Tur,-8.52,26.09,23.72,MOP
25.85,51.58,21.12,Sandy Loam,Arhar/Tur,1.41,16.72,25.21,20-40-20
27.65,57.15,24.01,Sandy Loam,Arhar/Tur,9.45,20.94,30.91,DAP
29,62.95,24.73,Clay Loam,Arhar/Tur,10.55,21.4,29.71,DAP
26.55,53.99,22.84,Sandy Loam,Arhar/Tur,1.73,16.55,27.97,20-40-20
16.54,85.22,26.24,Clay Loam,Arhar/Tur,-6.71,23.85,25.93,DAP
25.15,52.78,23.21,Clay Loam,Arhar/Tur,5.36,17.72,25.98,20-40-20
27.84,58.78,23.41,Sandy Loam,Arhar/Tur,10.64,20.56,30.81,DAP
30.13,61.93,20.9,Sand,Arhar/Tur,9.65,6.07,44.18,20-40-20
28.36,62.62,25.02,Sandy Loam,Arhar/Tur,8.33,20.09,30.76,DAP
25.18,52.52,22.52,Loamy,Arhar/Tur,3.67,15.3,28.27,20-40-20
22.67,87.99,17.75,Sand,Arhar/Tur,-6.65,31.06,32.03,20-40-20
29.28,59.57,24.95,Sandy Loam,Arhar/Tur,8.72,18.84,30.31,DAP
27.59,60.15,23.41,Sandy Loam,Arhar/Tur,8.73,19.34,28.92,DAP
29.22,58.37,25.62,Sandy Loam,Arhar/Tur,8.82,20.22,28.83,DAP
28.49,56.68,26.46,Clay Loam,Arhar/Tur,9.79,21.5,30.52,DAP
36.55,36.41,10.19,Clay Loam,Arhar/Tur,16.27,21.84,28.52,20-40-20
30.41,66.96,26.94,Sandy Loam,Arhar/Tur,15.91,23.67,33.58,MOP
30.12,65.11,27.01,Clay Loam,Arhar/Tur,13.73,24.02,32.54,MOP
27.81,61.68,25.12,Loamy,Arhar/Tur,6.93,18.56,29.91,DAP
23.45,51.71,23.16,Sand,Arhar/Tur,20.32,27.83,39.08,DAP
25.63,53.47,20.05,Clay Loam,Arhar/Tur,0.79,15.18,25.06,20-40-20
24.53,51.56,20.53,Loamy,Arhar/Tur,4.9,15.45,25.91,20-40-20
19.97,45.41,10.71,Clay,Arhar/Tur,1.59,19.87,21.38,20-40-20
31.78,69.64,26.69,Loamy,Arhar/Tur,18.42,23.05,34.79,MOP
35.69,49.93,23.32,Clay Loam,Arhar/Tur,-1.81,15.38,19.6,MOP
27.37,61.02,25.04,Clay Loam,Arhar/Tur,11.25,20.48,29.94,DAP
26.74,60.87,26.55,Clay Loam,Arhar/Tur,8.76,19.49,30.3,DAP
24.12,53.18,21.03,Sandy Loam,Arhar/Tur,5.95,17.17,26.78,20-40-20
24.59,52.23,20.14,Clay Loam,Arhar/Tur,1.7,16.08,26.33,20-40-20
26.47,50.97,22.78,Sandy Loam,Arhar/Tur,4.11,18.24,27.23,20-40-20
31.39,67.6,29.5,Loamy,Arhar/Tur,19.44,23.79,33.41,MOP
24.78,55.78,21.64,Sandy Loam,Arhar/Tur,5.7,15.92,25.06,20-40-20
32.24,68.46,26.64,Sand,Arhar/Tur,-4.31,15.46,33.58,20-40-20
15.56,44.85,39.04,Sandy Loam,Arhar/Tur,-8.88,32.36,41.92,MOP
25.83,51.29,21.24,Clay Loam,Arhar/Tur,0.75,16.21,26.1,20-40-20
34.64,56.41,48.75,Sandy Loam,Arhar/Tur,28.93,14.97,39.92,MOP
29.47,69.79,28.04,Sandy Loam,Arhar/Tur,18.69,24.23,32.76,MOP
28.18,63.33,24.23,Sandy Loam,Arhar/Tur,10.54,20.61,31.61,DAP
28.96,60.87,24.12,Loamy,Arhar/Tur,10.48,20.21,30.72,DAP
30.6,68.13,27.82,Clay Loam,Arhar/Tur,17.2,22.14,32.07,MOP
26.49,50.98,20.8,Loamy,Arhar/Tur,1.33,18.17,25.18,20-40-20
24.64,50.07,22.61,Loamy,Arhar/Tur,0.5,17.15,25.23,20-40-20
28.93,57.2,24.93,Sandy Loam,Arhar/Tur,11.54,21.51,31.56,DAP
30.77,69.44,27.87,Clay Loam,Arhar/Tur,19.93,23.56,34.95,MOP
26.27,50.46,22.81,Sandy Loam,Arhar/Tur,2.74,17.09,27.42,20-40-20
29.32,60.9,23.82,Loamy,Arhar/Tur,7.99,18.47,30.59,DAP
31.89,65.77,27.93,Loamy,Arhar/Tur,18.37,23.5,33.43,MOP
29.23,62.36,26.06,Sandy Loam,Arhar/Tur,9.34,19.61,29.63,DAP
28.19,60.76,23.51,Sandy Loam,Arhar/Tur,12.14,21.55,28.96,DAP
29.83,66.64,28.77,Clay Loam,Arhar/Tur,15.04,24.2,32.86,MOP
28.59,58.44,24.81,Clay Loam,Arhar/Tur,9.26,18.41,30.53,DAP
31.98,66.69,28.52,Sandy Loam,Arhar/Tur,17.2,24.02,34.73,MOP
27.73,62.34,24.55,Loamy,Arhar/Tur,7.41,21.02,30.82,DAP
29.41,64,29.3,Sandy Loam,Arhar/Tur,15.72,24.01,31.87,MOP
31.27,63.87,29.61,Clay Loam,Arhar/Tur,15.21,24.69,32.38,MOP
25.09,55.18,22.14,Sandy Loam,Arhar/Tur,4.7,16.38,26.71,20-40-20
28.12,57.6,25.31,Clay Loam,Arhar/Tur,7.69,19.59,29.44,DAP
24.08,50.1,23.08,Clay Loam,Arhar/Tur,3.55,15.34,25.63,20-40-20
19.66,57.74,37.16,Loamy,Arhar/Tur,-7.01,17.35,30.67,20-40-20
28.06,58.69,26.66,Sandy Loam,Arhar/Tur,7.33,21.2,28.81,DAP
30.57,67.45,28.4,Loamy,Arhar/Tur,17.66,24.46,32.15,MOP
28.7,58.39,25.16,Sandy Loam,Arhar/Tur,11.4,20.13,31.62,DAP
26.59,51.6,22.12,Loamy,Arhar/Tur,0.94,16.05,27.45,20-40-20
29.55,64.34,29.12,Clay Loam,Arhar/Tur,16.02,21.9,32.12,MOP
25.43,52.76,21.58,Sandy Loam,Arhar/Tur,2.63,16.52,27.87,20-40-20
29.97,68.63,27.66,Sandy Loam,Arhar/Tur,16.15,24.56,33.78,MOP
26.82,61.61,24.15,Clay Loam,Arhar/Tur,10.03,18.7,28.64,DAP
27.02,75.64,35.13,Loamy,Arhar/Tur,22.19,26.95,39.19,DAP
24.84,50.42,22.87,Sandy Loam,Arhar/Tur,2.54,18.26,25.24,20-40-20
25.87,55.15,21.5,Clay Loam,Arhar/Tur,1.69,16.12,26.82,20-40-20
31.26,68.45,29.94,Clay Loam,Arhar/Tur,13.9,21.91,32.65,MOP
28.79,62.2,26.45,Clay Loam,Arhar/Tur,11.6,20.37,31.04,DAP
28.24,56.67,26.5,Clay Loam,Arhar/Tur,10.06,18.38,30.43,DAP
28.78,62.98,24.83,Sandy Loam,Arhar/Tur,11.34,18.54,31.21,DAP
26.4,51.26,20.33,Clay Loam,Arhar/Tur,6.01,18.26,28.17,20-40-20
30.82,69.39,29.82,Sandy Loam,Arhar/Tur,18.64,23.04,32.8,MOP
26.77,61.81,23.84,Clay Loam,Arhar/Tur,11.71,21.1,30.47,DAP
27.11,60.8,23.79,Sandy Loam,Arhar/Tur,7.29,20.8,28.48,DAP
35.77,56.52,32.66,Sandy Loam,Arhar/Tur,28.06,24.37,17.82,20-40-20
25.84,54.93,21.79,Clay Loam,Arhar/Tur,3.11,16.14,27.97,20-40-20
30.4,68.02,27.45,Sandy Loam,Arhar/Tur,13.46,23.78,32.88,MOP
30.5,65.62,29.44,Clay Loam,Arhar/Tur,17.77,23.53,32.19,MOP
27.54,56.81,24.09,Loamy,Arhar/Tur,7.41,19.57,29.72,DAP
27.99,61.38,26.26,Loamy,Arhar/Tur,10.46,20.05,28.66,DAP
27.45,60.89,24.69,Clay Loam,Arhar/Tur,11.7,20.81,31.46,DAP
25.07,50.04,20.07,Loamy,Arhar/Tur,5.65,16.48,26.66,20-40-20
25.71,56.11,20.46,Sandy Loam,Arhar/Tur,3.27,16.75,25.24,20-40-20
25.37,80.01,34.07,Clay Loam,Arhar/Tur,26.92,28.58,39.48,20-40-20
31.93,67.43,28.38,Loamy,Arhar/Tur,19.75,22.74,32.51,MOP
31.26,65.94,26.73,Clay Loam,Arhar/Tur,14.3,22.35,34.73,MOP
27.2,58.84,26.2,Clay Loam,Arhar/Tur,11.12,20.03,30.17,DAP
31.62,64.25,27.09,Clay Loam,Arhar/Tur,18.89,24.69,32.31,MOP
19.48,59.64,43.05,Loamy,Arhar/Tur,-3.57,12.43,19.63,DAP
29.67,66.18,27.92,Sandy Loam,Arhar/Tur,16.2,22.89,32.6,MOP
24.13,56.01,21.38,Clay Loam,Arhar/Tur,3.26,17.45,26.97,20-40-20
31.94,83.85,15.37,Sandy Loam,Arhar/Tur,25.1,10.89,44.71,20-40-20
30.68,64.91,27.42,Sandy Loam,Arhar/Tur,14.8,22.16,31.92,MOP
31.48,68.33,29.73,Clay Loam,Arhar/Tur,16.8,22.02,32.84,MOP
27.24,57.09,24.15,Loamy,Arhar/Tur,8.28,21.56,29.65,DAP
31.94,65.74,29.27,Sandy Loam,Arhar/Tur,15.37,22.78,34.51,MOP
26.29,50.8,20.04,Clay Loam,Arhar/Tur,0.34,15.88,27.25,20-40-20
16.3,72.4,27.25,Clay,Arhar/Tur,11.15,25.2,19.38,MOP
38.19,70.09,49.86,Sandy Loam,Arhar/Tur,28.9,18.01,37.19,MOP
32.71,42.63,43.39,Clay,Arhar/Tur,17,23.05,39.93,20-40-20
17.3,33.26,37.79,Loamy,Arhar/Tur,29.21,24.2,39.97,DAP
26.48,52.55,21.76,Clay Loam,Arhar/Tur,3.3,15.4,27.22,20-40-20
39.59,73.88,48.54,Loamy,Arhar/Tur,12.18,10.8,43.1,DAP
25.87,51.87,22.66,Loamy,Arhar/Tur,3.93,15.71,25.7,20-40-20
27.12,60.11,24.68,Loamy,Arhar/Tur,13.2,20.7,30.44,DAP
17.16,83.66,29.7,Sand,Arhar/Tur,-5.89,22.18,19.81,20-40-20
36.16,89.29,26.97,Clay,Arhar/Tur,-0.68,32.64,35.17,DAP
26.03,53.15,22,Clay Loam,Arhar/Tur,6.47,18.01,27.03,20-40-20
26.35,51.84,21.94,Sandy Loam,Arhar/Tur,6.33,15.41,25.66,20-40-20
39.07,36.22,43.69,Loamy,Arhar/Tur,-7.57,26.53,41.4,DAP
30.65,67.22,27.39,Clay Loam,Arhar/Tur,17.95,22.01,34.42,MOP
32.58,39.48,17.6,Sandy,Bajra,45.76,24.5,22.7,Urea
39.09,47.8,23.48,Loamy Sand,Bajra,58.7,27.89,29.02,MOP
35.67,42.56,20.83,Loamy Sand,Bajra,52.14,26.89,26.7,DAP
32.16,33.27,15.96,Sandy Loam,Bajra,43.6,22.36,20.4,40-20-20
39.19,48.28,22.77,Sandy Loam,Bajra,56.97,29.3,29.54,MOP
35.51,44.22,20.63,Sandy Loam,Bajra,50.37,25.17,25.06,DAP
35.58,41.85,20.9,Loamy Sand,Bajra,51.7,26.19,26.49,DAP
35.41,44.64,22.46,Loamy Sand,Bajra,54.88,25.55,26.55,DAP
39.48,48.67,24.52,Sandy Loam,Bajra,58.31,28.93,28.93,MOP
34.55,35.47,19.33,Sandy,Bajra,47.38,22.85,24.98,Urea
34.03,38.64,19.23,Sandy Loam,Bajra,45.76,24.4,23.21,Urea
36.12,41.43,22.37,Sandy Loam,Bajra,50.11,25.59,25.69,DAP
33.65,30.05,21.7,Clay,Bajra,24.89,6.5,40.94,40-20-20
34.24,37.11,19.17,Sandy,Bajra,47.07,23.59,22.64,Urea
35.28,41.18,20.67,Loamy Sand,Bajra,54.8,25.13,25.12,DAP
